date,ticker,news_count,analyst_titles_json,partner_headlines_json,combined_news_text
2010-09-30,NFLX,0,[],[],
2010-10-01,NFLX,0,[],[],
2010-10-04,NFLX,0,[],[],
2010-10-05,NFLX,0,[],[],
2010-10-06,NFLX,0,[],[],
2010-10-07,NFLX,0,[],[],
2010-10-08,NFLX,0,[],[],
2010-10-11,NFLX,0,[],[],
2010-10-12,NFLX,0,[],[],
2010-10-13,NFLX,0,[],[],
2010-10-14,NFLX,0,[],[],
2010-10-15,NFLX,0,[],[],
2010-10-18,NFLX,0,[],[],
2010-10-19,NFLX,0,[],[],
2010-10-20,NFLX,0,[],[],
2010-10-21,NFLX,0,[],[],
2010-10-22,NFLX,0,[],[],
2010-10-25,NFLX,0,[],[],
2010-10-26,NFLX,0,[],[],
2010-10-27,NFLX,0,[],[],
2010-10-28,NFLX,0,[],[],
2010-10-29,NFLX,0,[],[],
2010-11-01,NFLX,0,[],[],
2010-11-02,NFLX,0,[],[],
2010-11-03,NFLX,0,[],[],
2010-11-04,NFLX,0,[],[],
2010-11-05,NFLX,0,[],[],
2010-11-08,NFLX,0,[],[],
2010-11-09,NFLX,0,[],[],
2010-11-10,NFLX,0,[],[],
2010-11-11,NFLX,0,[],[],
2010-11-12,NFLX,0,[],[],
2010-11-15,NFLX,0,[],[],
2010-11-16,NFLX,0,[],[],
2010-11-17,NFLX,0,[],[],
2010-11-18,NFLX,0,[],[],
2010-11-19,NFLX,0,[],[],
2010-11-22,NFLX,0,[],[],
2010-11-23,NFLX,0,[],[],
2010-11-24,NFLX,0,[],[],
2010-11-26,NFLX,0,[],[],
2010-11-29,NFLX,0,[],[],
2010-11-30,NFLX,0,[],[],
2010-12-01,NFLX,0,[],[],
2010-12-02,NFLX,0,[],[],
2010-12-03,NFLX,0,[],[],
2010-12-06,NFLX,0,[],[],
2010-12-07,NFLX,0,[],[],
2010-12-08,NFLX,0,[],[],
2010-12-09,NFLX,0,[],[],
2010-12-10,NFLX,0,[],[],
2010-12-13,NFLX,0,[],[],
2010-12-14,NFLX,0,[],[],
2010-12-15,NFLX,0,[],[],
2010-12-16,NFLX,0,[],[],
2010-12-17,NFLX,0,[],[],
2010-12-20,NFLX,0,[],[],
2010-12-21,NFLX,0,[],[],
2010-12-22,NFLX,0,[],[],
2010-12-23,NFLX,0,[],[],
2010-12-27,NFLX,0,[],[],
2010-12-28,NFLX,0,[],[],
2010-12-29,NFLX,0,[],[],
2010-12-30,NFLX,0,[],[],
2010-12-31,NFLX,0,[],[],
2011-01-03,NFLX,0,[],[],
2011-01-04,NFLX,0,[],[],
2011-01-05,NFLX,0,[],[],
2011-01-06,NFLX,0,[],[],
2011-01-07,NFLX,0,[],[],
2011-01-10,NFLX,0,[],[],
2011-01-11,NFLX,0,[],[],
2011-01-12,NFLX,0,[],[],
2011-01-13,NFLX,0,[],[],
2011-01-14,NFLX,0,[],[],
2011-01-18,NFLX,0,[],[],
2011-01-19,NFLX,0,[],[],
2011-01-20,NFLX,0,[],[],
2011-01-21,NFLX,0,[],[],
2011-01-24,NFLX,0,[],[],
2011-01-25,NFLX,0,[],[],
2011-01-26,NFLX,0,[],[],
2011-01-27,NFLX,0,[],[],
2011-01-28,NFLX,0,[],[],
2011-01-31,NFLX,0,[],[],
2011-02-01,NFLX,0,[],[],
2011-02-02,NFLX,0,[],[],
2011-02-03,NFLX,0,[],[],
2011-02-04,NFLX,0,[],[],
2011-02-07,NFLX,0,[],[],
2011-02-08,NFLX,0,[],[],
2011-02-09,NFLX,0,[],[],
2011-02-10,NFLX,0,[],[],
2011-02-11,NFLX,0,[],[],
2011-02-14,NFLX,0,[],[],
2011-02-15,NFLX,0,[],[],
2011-02-16,NFLX,0,[],[],
2011-02-17,NFLX,0,[],[],
2011-02-18,NFLX,0,[],[],
2011-02-22,NFLX,0,[],[],
2011-02-23,NFLX,0,[],[],
2011-02-24,NFLX,0,[],[],
2011-02-25,NFLX,0,[],[],
2011-02-28,NFLX,0,[],[],
2011-03-01,NFLX,0,[],[],
2011-03-02,NFLX,0,[],[],
2011-03-03,NFLX,0,[],[],
2011-03-04,NFLX,0,[],[],
2011-03-07,NFLX,0,[],[],
2011-03-08,NFLX,0,[],[],
2011-03-09,NFLX,0,[],[],
2011-03-10,NFLX,0,[],[],
2011-03-11,NFLX,0,[],[],
2011-03-14,NFLX,0,[],[],
2011-03-15,NFLX,0,[],[],
2011-03-16,NFLX,0,[],[],
2011-03-17,NFLX,0,[],[],
2011-03-18,NFLX,0,[],[],
2011-03-21,NFLX,0,[],[],
2011-03-22,NFLX,0,[],[],
2011-03-23,NFLX,0,[],[],
2011-03-24,NFLX,0,[],[],
2011-03-25,NFLX,0,[],[],
2011-03-28,NFLX,0,[],[],
2011-03-29,NFLX,0,[],[],
2011-03-30,NFLX,0,[],[],
2011-03-31,NFLX,0,[],[],
2011-04-01,NFLX,0,[],[],
2011-04-04,NFLX,0,[],[],
2011-04-05,NFLX,0,[],[],
2011-04-06,NFLX,0,[],[],
2011-04-07,NFLX,0,[],[],
2011-04-08,NFLX,0,[],[],
2011-04-11,NFLX,0,[],[],
2011-04-12,NFLX,0,[],[],
2011-04-13,NFLX,0,[],[],
2011-04-14,NFLX,0,[],[],
2011-04-15,NFLX,0,[],[],
2011-04-18,NFLX,0,[],[],
2011-04-19,NFLX,0,[],[],
2011-04-20,NFLX,0,[],[],
2011-04-21,NFLX,0,[],[],
2011-04-25,NFLX,0,[],[],
2011-04-26,NFLX,0,[],[],
2011-04-27,NFLX,0,[],[],
2011-04-28,NFLX,0,[],[],
2011-04-29,NFLX,0,[],[],
2011-05-02,NFLX,0,[],[],
2011-05-03,NFLX,0,[],[],
2011-05-04,NFLX,0,[],[],
2011-05-05,NFLX,0,[],[],
2011-05-06,NFLX,0,[],[],
2011-05-09,NFLX,0,[],[],
2011-05-10,NFLX,0,[],[],
2011-05-11,NFLX,0,[],[],
2011-05-12,NFLX,0,[],[],
2011-05-13,NFLX,0,[],[],
2011-05-16,NFLX,0,[],[],
2011-05-17,NFLX,0,[],[],
2011-05-18,NFLX,0,[],[],
2011-05-19,NFLX,0,[],[],
2011-05-20,NFLX,0,[],[],
2011-05-23,NFLX,0,[],[],
2011-05-24,NFLX,0,[],[],
2011-05-25,NFLX,0,[],[],
2011-05-26,NFLX,0,[],[],
2011-05-27,NFLX,0,[],[],
2011-05-31,NFLX,0,[],[],
2011-06-01,NFLX,0,[],[],
2011-06-02,NFLX,0,[],[],
2011-06-03,NFLX,0,[],[],
2011-06-06,NFLX,0,[],[],
2011-06-07,NFLX,0,[],[],
2011-06-08,NFLX,0,[],[],
2011-06-09,NFLX,0,[],[],
2011-06-10,NFLX,0,[],[],
2011-06-13,NFLX,0,[],[],
2011-06-14,NFLX,0,[],[],
2011-06-15,NFLX,0,[],[],
2011-06-16,NFLX,0,[],[],
2011-06-17,NFLX,0,[],[],
2011-06-20,NFLX,0,[],[],
2011-06-21,NFLX,0,[],[],
2011-06-22,NFLX,0,[],[],
2011-06-23,NFLX,0,[],[],
2011-06-24,NFLX,0,[],[],
2011-06-27,NFLX,0,[],[],
2011-06-28,NFLX,0,[],[],
2011-06-29,NFLX,0,[],[],
2011-06-30,NFLX,0,[],[],
2011-07-01,NFLX,0,[],[],
2011-07-05,NFLX,0,[],[],
2011-07-06,NFLX,0,[],[],
2011-07-07,NFLX,0,[],[],
2011-07-08,NFLX,0,[],[],
2011-07-11,NFLX,0,[],[],
2011-07-12,NFLX,0,[],[],
2011-07-13,NFLX,0,[],[],
2011-07-14,NFLX,0,[],[],
2011-07-15,NFLX,0,[],[],
2011-07-18,NFLX,0,[],[],
2011-07-19,NFLX,0,[],[],
2011-07-20,NFLX,0,[],[],
2011-07-21,NFLX,0,[],[],
2011-07-22,NFLX,0,[],[],
2011-07-25,NFLX,0,[],[],
2011-07-26,NFLX,0,[],[],
2011-07-27,NFLX,0,[],[],
2011-07-28,NFLX,0,[],[],
2011-07-29,NFLX,0,[],[],
2011-08-01,NFLX,0,[],[],
2011-08-02,NFLX,0,[],[],
2011-08-03,NFLX,0,[],[],
2011-08-04,NFLX,0,[],[],
2011-08-05,NFLX,0,[],[],
2011-08-08,NFLX,0,[],[],
2011-08-09,NFLX,0,[],[],
2011-08-10,NFLX,0,[],[],
2011-08-11,NFLX,0,[],[],
2011-08-12,NFLX,0,[],[],
2011-08-15,NFLX,0,[],[],
2011-08-16,NFLX,0,[],[],
2011-08-17,NFLX,0,[],[],
2011-08-18,NFLX,0,[],[],
2011-08-19,NFLX,0,[],[],
2011-08-22,NFLX,0,[],[],
2011-08-23,NFLX,0,[],[],
2011-08-24,NFLX,0,[],[],
2011-08-25,NFLX,0,[],[],
2011-08-26,NFLX,0,[],[],
2011-08-29,NFLX,0,[],[],
2011-08-30,NFLX,0,[],[],
2011-08-31,NFLX,0,[],[],
2011-09-01,NFLX,0,[],[],
2011-09-02,NFLX,0,[],[],
2011-09-06,NFLX,0,[],[],
2011-09-07,NFLX,0,[],[],
2011-09-08,NFLX,0,[],[],
2011-09-09,NFLX,0,[],[],
2011-09-12,NFLX,0,[],[],
2011-09-13,NFLX,0,[],[],
2011-09-14,NFLX,0,[],[],
2011-09-15,NFLX,0,[],[],
2011-09-16,NFLX,0,[],[],
2011-09-19,NFLX,0,[],[],
2011-09-20,NFLX,0,[],[],
2011-09-21,NFLX,0,[],[],
2011-09-22,NFLX,0,[],[],
2011-09-23,NFLX,0,[],[],
2011-09-26,NFLX,0,[],[],
2011-09-27,NFLX,0,[],[],
2011-09-28,NFLX,0,[],[],
2011-09-29,NFLX,0,[],[],
2011-09-30,NFLX,0,[],[],
2011-10-03,NFLX,0,[],[],
2011-10-04,NFLX,0,[],[],
2011-10-05,NFLX,0,[],[],
2011-10-06,NFLX,0,[],[],
2011-10-07,NFLX,0,[],[],
2011-10-10,NFLX,0,[],[],
2011-10-11,NFLX,0,[],[],
2011-10-12,NFLX,0,[],[],
2011-10-13,NFLX,0,[],[],
2011-10-14,NFLX,0,[],[],
2011-10-17,NFLX,0,[],[],
2011-10-18,NFLX,0,[],[],
2011-10-19,NFLX,0,[],[],
2011-10-20,NFLX,0,[],[],
2011-10-21,NFLX,0,[],[],
2011-10-24,NFLX,0,[],[],
2011-10-25,NFLX,0,[],[],
2011-10-26,NFLX,0,[],[],
2011-10-27,NFLX,0,[],[],
2011-10-28,NFLX,0,[],[],
2011-10-31,NFLX,0,[],[],
2011-11-01,NFLX,0,[],[],
2011-11-02,NFLX,0,[],[],
2011-11-03,NFLX,0,[],[],
2011-11-04,NFLX,0,[],[],
2011-11-07,NFLX,0,[],[],
2011-11-08,NFLX,0,[],[],
2011-11-09,NFLX,0,[],[],
2011-11-10,NFLX,0,[],[],
2011-11-11,NFLX,0,[],[],
2011-11-14,NFLX,0,[],[],
2011-11-15,NFLX,0,[],[],
2011-11-16,NFLX,0,[],[],
2011-11-17,NFLX,0,[],[],
2011-11-18,NFLX,0,[],[],
2011-11-21,NFLX,0,[],[],
2011-11-22,NFLX,0,[],[],
2011-11-23,NFLX,0,[],[],
2011-11-25,NFLX,0,[],[],
2011-11-28,NFLX,0,[],[],
2011-11-29,NFLX,0,[],[],
2011-11-30,NFLX,0,[],[],
2011-12-01,NFLX,0,[],[],
2011-12-02,NFLX,0,[],[],
2011-12-05,NFLX,0,[],[],
2011-12-06,NFLX,0,[],[],
2011-12-07,NFLX,0,[],[],
2011-12-08,NFLX,0,[],[],
2011-12-09,NFLX,0,[],[],
2011-12-12,NFLX,0,[],[],
2011-12-13,NFLX,0,[],[],
2011-12-14,NFLX,0,[],[],
2011-12-15,NFLX,0,[],[],
2011-12-16,NFLX,0,[],[],
2011-12-19,NFLX,0,[],[],
2011-12-20,NFLX,0,[],[],
2011-12-21,NFLX,0,[],[],
2011-12-22,NFLX,0,[],[],
2011-12-23,NFLX,0,[],[],
2011-12-27,NFLX,0,[],[],
2011-12-28,NFLX,0,[],[],
2011-12-29,NFLX,0,[],[],
2011-12-30,NFLX,0,[],[],
2012-01-03,NFLX,0,[],[],
2012-01-04,NFLX,0,[],[],
2012-01-05,NFLX,0,[],[],
2012-01-06,NFLX,0,[],[],
2012-01-09,NFLX,0,[],[],
2012-01-10,NFLX,0,[],[],
2012-01-11,NFLX,0,[],[],
2012-01-12,NFLX,0,[],[],
2012-01-13,NFLX,0,[],[],
2012-01-17,NFLX,0,[],[],
2012-01-18,NFLX,0,[],[],
2012-01-19,NFLX,0,[],[],
2012-01-20,NFLX,0,[],[],
2012-01-23,NFLX,0,[],[],
2012-01-24,NFLX,0,[],[],
2012-01-25,NFLX,0,[],[],
2012-01-26,NFLX,0,[],[],
2012-01-27,NFLX,0,[],[],
2012-01-30,NFLX,0,[],[],
2012-01-31,NFLX,0,[],[],
2012-02-01,NFLX,0,[],[],
2012-02-02,NFLX,0,[],[],
2012-02-03,NFLX,0,[],[],
2012-02-06,NFLX,0,[],[],
2012-02-07,NFLX,0,[],[],
2012-02-08,NFLX,0,[],[],
2012-02-09,NFLX,0,[],[],
2012-02-10,NFLX,0,[],[],
2012-02-13,NFLX,0,[],[],
2012-02-14,NFLX,0,[],[],
2012-02-15,NFLX,0,[],[],
2012-02-16,NFLX,0,[],[],
2012-02-17,NFLX,0,[],[],
2012-02-21,NFLX,0,[],[],
2012-02-22,NFLX,0,[],[],
2012-02-23,NFLX,0,[],[],
2012-02-24,NFLX,0,[],[],
2012-02-27,NFLX,0,[],[],
2012-02-28,NFLX,0,[],[],
2012-02-29,NFLX,0,[],[],
2012-03-01,NFLX,0,[],[],
2012-03-02,NFLX,0,[],[],
2012-03-05,NFLX,0,[],[],
2012-03-06,NFLX,0,[],[],
2012-03-07,NFLX,0,[],[],
2012-03-08,NFLX,0,[],[],
2012-03-09,NFLX,0,[],[],
2012-03-12,NFLX,0,[],[],
2012-03-13,NFLX,0,[],[],
2012-03-14,NFLX,0,[],[],
2012-03-15,NFLX,0,[],[],
2012-03-16,NFLX,0,[],[],
2012-03-19,NFLX,0,[],[],
2012-03-20,NFLX,0,[],[],
2012-03-21,NFLX,0,[],[],
2012-03-22,NFLX,0,[],[],
2012-03-23,NFLX,0,[],[],
2012-03-26,NFLX,0,[],[],
2012-03-27,NFLX,0,[],[],
2012-03-28,NFLX,0,[],[],
2012-03-29,NFLX,0,[],[],
2012-03-30,NFLX,0,[],[],
2012-04-02,NFLX,0,[],[],
2012-04-03,NFLX,0,[],[],
2012-04-04,NFLX,0,[],[],
2012-04-05,NFLX,0,[],[],
2012-04-09,NFLX,0,[],[],
2012-04-10,NFLX,0,[],[],
2012-04-11,NFLX,0,[],[],
2012-04-12,NFLX,0,[],[],
2012-04-13,NFLX,0,[],[],
2012-04-16,NFLX,0,[],[],
2012-04-17,NFLX,0,[],[],
2012-04-18,NFLX,0,[],[],
2012-04-19,NFLX,0,[],[],
2012-04-20,NFLX,0,[],[],
2012-04-23,NFLX,0,[],[],
2012-04-24,NFLX,0,[],[],
2012-04-25,NFLX,0,[],[],
2012-04-26,NFLX,0,[],[],
2012-04-27,NFLX,0,[],[],
2012-04-30,NFLX,0,[],[],
2012-05-01,NFLX,0,[],[],
2012-05-02,NFLX,0,[],[],
2012-05-03,NFLX,0,[],[],
2012-05-04,NFLX,0,[],[],
2012-05-07,NFLX,0,[],[],
2012-05-08,NFLX,0,[],[],
2012-05-09,NFLX,0,[],[],
2012-05-10,NFLX,0,[],[],
2012-05-11,NFLX,0,[],[],
2012-05-14,NFLX,0,[],[],
2012-05-15,NFLX,0,[],[],
2012-05-16,NFLX,0,[],[],
2012-05-17,NFLX,0,[],[],
2012-05-18,NFLX,0,[],[],
2012-05-21,NFLX,0,[],[],
2012-05-22,NFLX,0,[],[],
2012-05-23,NFLX,0,[],[],
2012-05-24,NFLX,0,[],[],
2012-05-25,NFLX,0,[],[],
2012-05-29,NFLX,0,[],[],
2012-05-30,NFLX,0,[],[],
2012-05-31,NFLX,0,[],[],
2012-06-01,NFLX,0,[],[],
2012-06-04,NFLX,0,[],[],
2012-06-05,NFLX,0,[],[],
2012-06-06,NFLX,0,[],[],
2012-06-07,NFLX,0,[],[],
2012-06-08,NFLX,0,[],[],
2012-06-11,NFLX,0,[],[],
2012-06-12,NFLX,0,[],[],
2012-06-13,NFLX,0,[],[],
2012-06-14,NFLX,0,[],[],
2012-06-15,NFLX,0,[],[],
2012-06-18,NFLX,0,[],[],
2012-06-19,NFLX,0,[],[],
2012-06-20,NFLX,0,[],[],
2012-06-21,NFLX,0,[],[],
2012-06-22,NFLX,0,[],[],
2012-06-25,NFLX,0,[],[],
2012-06-26,NFLX,0,[],[],
2012-06-27,NFLX,0,[],[],
2012-06-28,NFLX,0,[],[],
2012-06-29,NFLX,0,[],[],
2012-07-02,NFLX,0,[],[],
2012-07-03,NFLX,0,[],[],
2012-07-05,NFLX,0,[],[],
2012-07-06,NFLX,0,[],[],
2012-07-09,NFLX,0,[],[],
2012-07-10,NFLX,0,[],[],
2012-07-11,NFLX,0,[],[],
2012-07-12,NFLX,0,[],[],
2012-07-13,NFLX,0,[],[],
2012-07-16,NFLX,0,[],[],
2012-07-17,NFLX,0,[],[],
2012-07-18,NFLX,0,[],[],
2012-07-19,NFLX,0,[],[],
2012-07-20,NFLX,0,[],[],
2012-07-23,NFLX,0,[],[],
2012-07-24,NFLX,0,[],[],
2012-07-25,NFLX,0,[],[],
2012-07-26,NFLX,0,[],[],
2012-07-27,NFLX,0,[],[],
2012-07-30,NFLX,0,[],[],
2012-07-31,NFLX,0,[],[],
2012-08-01,NFLX,0,[],[],
2012-08-02,NFLX,0,[],[],
2012-08-03,NFLX,0,[],[],
2012-08-06,NFLX,0,[],[],
2012-08-07,NFLX,0,[],[],
2012-08-08,NFLX,0,[],[],
2012-08-09,NFLX,0,[],[],
2012-08-10,NFLX,0,[],[],
2012-08-13,NFLX,0,[],[],
2012-08-14,NFLX,0,[],[],
2012-08-15,NFLX,0,[],[],
2012-08-16,NFLX,0,[],[],
2012-08-17,NFLX,0,[],[],
2012-08-20,NFLX,0,[],[],
2012-08-21,NFLX,0,[],[],
2012-08-22,NFLX,0,[],[],
2012-08-23,NFLX,0,[],[],
2012-08-24,NFLX,0,[],[],
2012-08-27,NFLX,0,[],[],
2012-08-28,NFLX,0,[],[],
2012-08-29,NFLX,0,[],[],
2012-08-30,NFLX,0,[],[],
2012-08-31,NFLX,0,[],[],
2012-09-04,NFLX,0,[],[],
2012-09-05,NFLX,0,[],[],
2012-09-06,NFLX,0,[],[],
2012-09-07,NFLX,0,[],[],
2012-09-10,NFLX,0,[],[],
2012-09-11,NFLX,0,[],[],
2012-09-12,NFLX,0,[],[],
2012-09-13,NFLX,0,[],[],
2012-09-14,NFLX,0,[],[],
2012-09-17,NFLX,0,[],[],
2012-09-18,NFLX,0,[],[],
2012-09-19,NFLX,0,[],[],
2012-09-20,NFLX,0,[],[],
2012-09-21,NFLX,0,[],[],
2012-09-24,NFLX,0,[],[],
2012-09-25,NFLX,0,[],[],
2012-09-26,NFLX,0,[],[],
2012-09-27,NFLX,0,[],[],
2012-09-28,NFLX,0,[],[],
2012-10-01,NFLX,0,[],[],
2012-10-02,NFLX,0,[],[],
2012-10-03,NFLX,0,[],[],
2012-10-04,NFLX,0,[],[],
2012-10-05,NFLX,0,[],[],
2012-10-08,NFLX,0,[],[],
2012-10-09,NFLX,0,[],[],
2012-10-10,NFLX,0,[],[],
2012-10-11,NFLX,0,[],[],
2012-10-12,NFLX,0,[],[],
2012-10-15,NFLX,0,[],[],
2012-10-16,NFLX,0,[],[],
2012-10-17,NFLX,0,[],[],
2012-10-18,NFLX,0,[],[],
2012-10-19,NFLX,0,[],[],
2012-10-22,NFLX,0,[],[],
2012-10-23,NFLX,0,[],[],
2012-10-24,NFLX,0,[],[],
2012-10-25,NFLX,0,[],[],
2012-10-26,NFLX,0,[],[],
2012-10-31,NFLX,0,[],[],
2012-11-01,NFLX,0,[],[],
2012-11-02,NFLX,0,[],[],
2012-11-05,NFLX,0,[],[],
2012-11-06,NFLX,0,[],[],
2012-11-07,NFLX,0,[],[],
2012-11-08,NFLX,0,[],[],
2012-11-09,NFLX,0,[],[],
2012-11-12,NFLX,0,[],[],
2012-11-13,NFLX,0,[],[],
2012-11-14,NFLX,0,[],[],
2012-11-15,NFLX,0,[],[],
2012-11-16,NFLX,0,[],[],
2012-11-19,NFLX,0,[],[],
2012-11-20,NFLX,0,[],[],
2012-11-21,NFLX,0,[],[],
2012-11-23,NFLX,0,[],[],
2012-11-26,NFLX,0,[],[],
2012-11-27,NFLX,0,[],[],
2012-11-28,NFLX,0,[],[],
2012-11-29,NFLX,0,[],[],
2012-11-30,NFLX,0,[],[],
2012-12-03,NFLX,0,[],[],
